sentence_type,timestamp,lat-dd,lat-dir,lon-dd,lon-dir,satellites_in_view,satellites_in_use,knots,mph,kph,course,altitude,fix_stat,fix_type,fix_time
GPRMC,20210803T191312.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.17, 0.19567, 0.31484],314.92,234.4,1,1,133346
GPGGA,20210803T191313.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.17, 0.19567, 0.31484],314.92,234.4,1,1,133720
GPRMC,20210803T191313.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.22, 0.25322, 0.40744],326.68,234.4,1,1,133850
GPGGA,20210803T191313.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.22, 0.25322, 0.40744],326.68,234.4,1,1,134210
GPRMC,20210803T191313.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.27, 0.31077, 0.50004],329.91,234.4,1,1,134337
GPGGA,20210803T191314.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.27, 0.31077, 0.50004],329.91,234.4,1,1,134722
GPRMC,20210803T191314.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.28, 0.32228, 0.51856],308.77,234.4,1,1,134853
GPGGA,20210803T191314.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.28, 0.32228, 0.51856],308.77,234.4,1,1,135222
GPRMC,20210803T191314.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.33, 0.37983, 0.61116],278.7,234.4,1,1,135353
GPGGA,20210803T191315.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.33, 0.37983, 0.61116],278.7,234.4,1,1,135722
GPRMC,20210803T191315.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.32, 0.36832, 0.59264],275.69,234.4,1,1,135847
GPGGA,20210803T191315.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.32, 0.36832, 0.59264],275.69,234.4,1,1,136220
GPRMC,20210803T191315.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.31, 0.35681, 0.57412],274.51,234.4,1,1,136344
GPGGA,20210803T191316.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.31, 0.35681, 0.57412],274.51,234.4,1,1,136719
GPRMC,20210803T191316.000,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.33, 0.37983, 0.61116],261.13,234.4,1,1,136842
GPGGA,20210803T191316.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.33, 0.37983, 0.61116],261.13,234.4,1,1,137220
GPRMC,20210803T191316.500,[42.17731, 'N'],[83.78335, 'W'],0,6,[0.34, 0.39134, 0.62968],264.36,234.4,1,1,137344
GPGGA,20210803T191317.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.34, 0.39134, 0.62968],264.36,234.4,1,1,137722
GPRMC,20210803T191317.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.35, 0.40285, 0.6482],291.51,234.4,1,1,137845
GPGGA,20210803T191317.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.35, 0.40285, 0.6482],291.51,234.4,1,1,138218
GPRMC,20210803T191317.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.3, 0.3453, 0.5556001],300.5,234.4,1,1,138342
GPGGA,20210803T191318.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.3, 0.3453, 0.5556001],300.5,234.4,1,1,138719
GPRMC,20210803T191318.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.2, 0.2302, 0.3704],301.15,234.4,1,1,138842
GPGGA,20210803T191318.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.2, 0.2302, 0.3704],301.15,234.4,1,1,139219
GPRMC,20210803T191318.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.22, 0.25322, 0.40744],296.48,234.4,1,1,139342
GPGGA,20210803T191319.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.22, 0.25322, 0.40744],296.48,234.4,1,1,139722
GPRMC,20210803T191319.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.26, 0.29926, 0.48152],293.35,234.4,1,1,139849
GPGGA,20210803T191319.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.26, 0.29926, 0.48152],293.35,234.4,1,1,140220
GPRMC,20210803T191319.500,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.26, 0.29926, 0.48152],305.41,234.4,1,1,140343
GPGGA,20210803T191320.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.26, 0.29926, 0.48152],305.41,234.4,1,1,140724
GPRMC,20210803T191320.000,[42.17731, 'N'],[83.78336, 'W'],0,6,[0.26, 0.29926, 0.48152],311.27,234.4,1,1,140853
GPGGA,20210803T191324.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.26, 0.29926, 0.48152],311.27,234.4,1,1,144725
GPRMC,20210803T191324.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],286.1,234.4,1,1,144849
GPGGA,20210803T191324.500,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],286.1,234.4,1,1,145222
GPRMC,20210803T191324.500,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.19, 0.21869, 0.35188],272.2,234.4,1,1,145347
GPGGA,20210803T191325.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.19, 0.21869, 0.35188],272.2,234.4,1,1,145725
GPRMC,20210803T191325.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.21, 0.24171, 0.38892],254.29,234.4,1,1,145849
GPGGA,20210803T191325.500,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.21, 0.24171, 0.38892],254.29,234.4,1,1,146223
GPRMC,20210803T191325.500,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.13, 0.14963, 0.24076],225.97,234.4,1,1,146347
GPGGA,20210803T191326.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.13, 0.14963, 0.24076],225.97,234.4,1,1,146724
GPRMC,20210803T191326.000,[42.17732, 'N'],[83.78337, 'W'],0,6,[0.16, 0.18416, 0.29632],223.83,234.4,1,1,146848
GPGGA,20210803T191326.500,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.16, 0.18416, 0.29632],223.83,234.4,1,1,147222
GPRMC,20210803T191326.500,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.23, 0.26473, 0.42596],220.26,234.4,1,1,147346
GPGGA,20210803T191327.000,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.23, 0.26473, 0.42596],220.26,234.4,1,1,147722
GPRMC,20210803T191327.000,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.24, 0.27624, 0.44448],226.05,234.4,1,1,147847
GPGGA,20210803T191327.000,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.24, 0.27624, 0.44448],226.05,234.4,1,1,147847
GPGGA,20210803T191330.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.24, 0.27624, 0.44448],226.05,234.4,1,1,151012
GPGGA,20210803T191330.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.24, 0.27624, 0.44448],226.05,234.4,1,1,151466
GPRMC,20210803T191330.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.2, 0.2302, 0.3704],218.51,234.4,1,1,151593
GPGGA,20210803T191331.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.2, 0.2302, 0.3704],218.51,234.4,1,1,151972
GPRMC,20210803T191331.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.21, 0.24171, 0.38892],217.4,234.4,1,1,152096
GPGGA,20210803T191331.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.21, 0.24171, 0.38892],217.4,234.4,1,1,152469
GPRMC,20210803T191331.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.27, 0.31077, 0.50004],200.46,234.4,1,1,152593
GPGGA,20210803T191332.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.27, 0.31077, 0.50004],200.46,234.4,1,1,152973
GPRMC,20210803T191332.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.26, 0.29926, 0.48152],196.25,234.4,1,1,153097
GPGGA,20210803T191332.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.26, 0.29926, 0.48152],196.25,234.5,1,1,153472
GPRMC,20210803T191332.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.2, 0.2302, 0.3704],209.05,234.5,1,1,153595
GPGGA,20210803T191333.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.2, 0.2302, 0.3704],209.05,234.5,1,1,153969
GPRMC,20210803T191333.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],216.29,234.5,1,1,154093
GPGGA,20210803T191333.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],216.29,234.5,1,1,154472
GPRMC,20210803T191333.750,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.22, 0.25322, 0.40744],215.54,234.5,1,1,154597
GPGGA,20210803T191334.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.22, 0.25322, 0.40744],215.54,234.5,1,1,154971
GPRMC,20210803T191334.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],225.48,234.5,1,1,155597
GPGGA,20210803T191335.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.18, 0.20718, 0.33336],225.48,234.5,1,1,155971
GPRMC,20210803T191335.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.17, 0.19567, 0.31484],208.1,234.5,1,1,156596
GPGGA,20210803T191336.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.17, 0.19567, 0.31484],208.1,234.5,1,1,156971
GPRMC,20210803T191336.250,[42.17731, 'N'],[83.78337, 'W'],0,6,[0.26, 0.29926, 0.48152],207.6,234.5,1,1,157596
GPGGA,20210803T191337.750,[42.17731, 'N'],[83.78338, 'W'],0,6,[0.26, 0.29926, 0.48152],207.6,234.5,1,1,158470
GPRMC,20210803T191337.750,[42.17731, 'N'],[83.78338, 'W'],0,6,[0.27, 0.31077, 0.50004],196.4,234.5,1,1,158594
